AAAS Afrcn and Afrcn-Amer Stds,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10578,AAAS,2100,1,11M,3,Intro Afr/Afr American Study,TR,09:40 am-11:05 am,35,0,35,100,0,100,0,0,0,TBA,01/17-05/04,DH 119,
NR,20172,AAAS,2100,M50,11M,3,Intro Afr/Afr American Study,,TBA,35,0,35,100,0,100,0,0,0,TBA,01/17-05/04,WEB 100,(Tiger Eats Does Not Apply) and Online African American Sty UG and UM3D Approved Online Section
NR,20173,AAAS,4100,M50,11M,3,Seminar Afr/Afr Amer Studies,,TBA,20,0,20,100,0,100,0,0,0,Ladrica C Menson-Furr (P),01/17-05/04,WEB 100,(Tiger Eats Does Not Apply) and Online African American Sty UG and UM3D Approved Online Section
ACAD Academics,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10593,ACAD,1100,3,11M,3,Academic Strategies,TR,09:40 am-11:05 am,25,0,25,100,0,100,0,0,0,Emily K Mann (P),01/17-05/04,MI 427,Reading I and Reading II and Study Skills and LS Read Competency 0 and LS Read Competency 1 and LS Read Competency 2
NR,10589,ACAD,1100,4,11M,3,Academic Strategies,TR,11:20 am-12:45 pm,25,0,25,100,0,100,0,0,0,Brittany Victoria Foster (P),01/17-05/04,MI 427,Reading I and Reading II and Study Skills and LS Read Competency 0 and LS Read Competency 1 and LS Read Competency 2
NR,10590,ACAD,1100,5,11M,3,Academic Strategies,TR,01:00 pm-02:25 pm,25,0,25,100,0,100,0,0,0,Vanessa Brocks (P),01/17-05/04,PT 219,Reading I and Reading II and Study Skills and LS Read Competency 0 and LS Read Competency 1 and LS Read Competency 2
NR,10591,ACAD,1100,6,11M,3,Academic Strategies,MW,12:40 pm-02:05 pm,25,0,25,100,0,100,0,0,0,Melissa Ann Hardy (P),01/17-05/04,MI 427,Reading I and Reading II and Study Skills and LS Read Competency 0 and LS Read Competency 1 and LS Read Competency 2
ACCT Accountancy,,,,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,21103,ACCT,1010,R50,90R,3,Principles of Accounting I,,TBA,99,0,99,100,0,100,0,0,0,TBA,01/17-05/03,WEB,(Tiger Eats Does Not Apply)
NR,21104,ACCT,1020,R50,90R,3,Principles of Accounting II,,TBA,99,0,99,100,0,100,0,0,0,TBA,01/17-05/03,WEB,(Tiger Eats Does Not Apply)
